station_name,ridership_in_2019
103rd St,3766055
103rd St,4039570
103rd St,1498363
103rd St-Corona Plaza,6399657
104th St,536924
104th St,774888
110th St,3316061
111th St,3836999
111th St,760163
111th St,350344
116th St,3345661
116th St,4572453
116th St,2288111
116th St-Columbia University,4380469
121st St,675500
125th St,2368025
125th St,4644262
125th St,8554857
125th St,9208598
135th St,4268823
135th St,1743921
137th St-City College,3874783
138th St-Grand Concourse,1035878
145th St,2936613
145th St,954825
145th St,7464653
149th St-Grand Concourse,3931908
14th St/6th Ave,14736035
14th St/8th Ave,14239275
14th St-Union Sq,32385260
155th St,1123868
155th St,895036
157th St,3739786
15th St-Prospect Park,1964534
161st St-Yankee Stadium,8254928
163rd St-Amsterdam Ave,1390312
167th St,2653237
167th St,2734530
168th St,6156288
169th St,2465120
170th St,2487611
170th St,2130461
174th St,2057118
174th-175th Sts,1518260
175th St,4182625
176th St,1713696
181st St,3523536
181st St,3404841
182nd-183rd Sts,1513443
183rd St,1779224
18th Ave,1942617
18th Ave,1113492
18th Ave,1179756
18th St,2649616
190th St,1535450
191st St,2333160
1st Ave,5345371
207th St,1853146
20th Ave,1578971
20th Ave,1142086
215th St,527505
219th St,979390
21st St,535536
21st St-Queensbridge,3516992
225th St,1187486
231st St,2919305
233rd St,1445532
238th St,1204095
23rd St,4627755
23rd St,8659806
23rd St,7272610
23rd St,8619473
23rd St,7085694
25th Ave,1507759
25th St,1153842
28th St,4493352
28th St,5834989
28th St,4018310
2nd Ave,5583944
30th Ave,5230182
33rd St,8934900
33rd St-Rawson St,2907388
34th St-Herald Sq,39385436
34th St-Hudson Yards,6108384
34th St-Penn Station,51599040
36th Ave,1933812
36th St,4254406
36th St,1383420
39th Ave,761816
3rd Ave,1700456
3rd Ave-138th St,2503850
3rd Ave-149th St,6768255
40th St-Lowery St,3074342
45th St,2461410
46th St,2609445
46th St-Bliss St,4019044
47th-50th Sts-Rockefeller Center,18604810
49th St,7410041
4th Ave/9th St,3924882
50th St,8134360
50th St,6902595
50th St,976988
52nd St,1907368
53rd St,2797730
55th St,637405
57th St,4550216
57th St-7th Ave,11012550
59th St,3664480
59th St-Columbus Circle,23040650
5th Ave-53rd St,7684091
5th Ave-59th St,4995128
62nd St/New Utrecht Ave,1501183
63rd Dr-Rego Park,4753706
65th St,1098148
66th St-Lincoln Center,7068256
67th Ave,2641450
68th St-Hunter College,6699711
69th St,1564387
71st St,1722921
72nd St,12379560
72nd St,2837041
72nd St,9528891
75th Ave,1059027
75th St-Elderts Ln,1029388
77th St,7821286
77th St,1674582
79th St,4745863
79th St,1926290
7th Ave,5508778
7th Ave,3103599
7th Ave,3675218
80th St,1298825
81st St-Museum of Natural History,4407607
82nd St-Jackson Hts,4893865
85th St-Forest Pkwy,1061293
86th St,8378778
86th St,5659795
86th St,13537308
86th St,3232637
86th St,708542
86th St,3434888
88th St,853110
8th Ave,3801700
8th St-New York University,5434212
90th St-Elmhurst Ave,5272683
96th St,11628887
96th St,5145222
96th St,3038864
96th St,6154837
9th Ave,1708387
Alabama Ave,628299
Allerton Ave,1614464
Aqueduct Racetrack,601436
Aqueduct-North Conduit Ave,263422
Astor Pl,5502925
Astoria Blvd,723354
Astoria-Ditmars Blvd,5277341
Atlantic Ave,469819
Atlantic Ave-Barclays Center,13939794
Ave H,991766
Ave I,584129
Ave J,1775846
Ave M,1691285
Ave N,877383
Ave P,739804
Ave U,547776
Ave U,1019104
Ave U,2301941
Ave X,758700
Bay 50th St,821873
Bay Pkwy,2446673
Bay Pkwy,362802
Bay Pkwy,2071452
Bay Ridge Ave,2354120
Bay Ridge-95th St,1743441
Baychester Ave,1094872
Beach 105th St,88439
Beach 25th St,517164
Beach 36th St,292305
Beach 44th St,215701
Beach 60th St,623826
Beach 67th St,718008
Beach 90th St,348771
Beach 98th St,164130
Bedford Ave,7836366
Bedford Park Blvd,2143375
Bedford Park Blvd-Lehman College,1538253
Bedford-Nostrand Aves,2795387
Bergen St,1208319
Bergen St,3577496
Beverley Rd,1048249
Beverly Rd,1284232
Bowery,1325244
Bowling Green,8362034
Briarwood-Van Wyck Blvd,1501152
Brighton Beach,3745994
Broad Channel,90358
Broad St,2172223
Broadway,1506905
Broadway,3038655
Broadway Junction,2759349
Broadway-Lafayette St/Bleecker St,12455155
Bronx Park E,769303
Brook Ave,1823468
Brooklyn Bridge-City Hall/Chambers St,9065146
Buhre Ave,1146032
Burke Ave,1000896
Burnside Ave,3113514
Bushwick Ave-Aberdeen St,600188
Canal St,1984827
Canal St,6403172
Canal St,15861864
Canarsie-Rockaway Pkwy,3302691
Carroll St,3615019
Castle Hill Ave,1954511
Cathedral Pkwy-110th St,3703893
Cathedral Pkwy-110th St,2396624
Central Ave,1472067
Central Park North-110th St,2666985
Chambers St,5941546
Chauncey St,1076510
Christopher St-Sheridan Sq,3412332
Church Ave,2862033
Church Ave,5061013
Church Ave,3051736
City Hall,1710380
Clark St,1781419
Classon Ave,1722852
Cleveland St,880879
Clinton-Washington Aves,2144338
Clinton-Washington Aves,1609332
Coney Island-Stillwell Ave,4579191
Cortelyou Rd,1957538
Court Sq-23rd St,7033377
Court St/Borough Hall,10135722
Crescent St,1391945
Crown Heights-Utica Ave,7933008
Cypress Ave,1043922
Cypress Hills,420647
DeKalb Ave,6708640
DeKalb Ave,3290894
Delancey St-Essex St,8861296
Ditmas Ave,1177275
Dyckman St,2079656
Dyckman St,2238372
E 105th St,1001343
E 143rd St-St Mary's St,313938
E 149th St,1467410
E 180th St,2211198
E Broadway,4460330
Eastchester-Dyre Ave,1331886
Eastern Pkwy-Brooklyn Museum,1338351
Elder Ave,1996492
Elmhurst Ave,3867341
Euclid Ave,3240578
Far Rockaway-Mott Ave,1347765
Flatbush Ave-Brooklyn College,5684108
Flushing Ave,732897
Flushing Ave,2773154
Flushing-Main St,17568837
Fordham Rd,3120976
Fordham Rd,3671217
Forest Ave,1310163
Forest Hills-71st Ave,8027234
Fort Hamilton Pkwy,1207971
Fort Hamilton Pkwy,1800167
Fort Hamilton Pkwy,1372278
Franklin Ave,1977940
Franklin Ave/Botanic Garden,4999385
Franklin St,1567005
Freeman St,1358821
Fresh Pond Rd,1776084
Fulton Center,27715365
Fulton St,1768601
Gates Ave,2249791
Graham Ave,2709511
Grand Army Plaza,2295401
Grand Ave-Newtown,5730846
Grand Central-42nd St,45745700
Grand St,8024364
Grand St,1847219
Grant Ave,1749932
Greenpoint Ave,3089912
Gun Hill Rd,2271942
Gun Hill Rd,1248513
Halsey St,2120521
Halsey St,2176141
Harlem-148th St,1120454
Hewes St,1117566
High St,3536860
Houston St,4496793
Howard Beach-JFK Airport,1171303
Hoyt St,2293256
Hoyt-Schermerhorn Sts,3605153
Hunters Point Ave,1885928
Hunts Point Ave,3174354
Intervale Ave,964689
Inwood-207th St,3150731
Jackson Ave,1584727
Jackson Heights-Roosevelt Ave/74th St,17077862
Jamaica Center-Parsons/Archer,10010419
Jamaica-179th St,6262449
Jamaica-Van Wyck,1412179
Jay St-MetroTech,12238047
Jefferson St,2237997
Junction Blvd,6883317
Junius St,676092
Kew Gardens-Union Tpke,7625674
Kings Hwy,5938819
Kings Hwy,1129071
Kings Hwy,1371311
Kingsbridge Rd,2733096
Kingsbridge Rd,2485283
Kingston Ave,1472802
Kingston-Throop Aves,2055094
Knickerbocker Ave,1544093
Kosciuszko St,1779062
Lafayette Ave,1599887
Lexington Ave/51st St,18957465
Lexington Ave/59th St,16760813
Lexington Ave/63rd St,6567634
Liberty Ave,833633
Livonia Ave,856615
Longwood Ave,949680
Lorimer St,1747990
Marble Hill-225th St,1561844
Marcy Ave,4717791
Metropolitan Ave/Lorimer St,4696924
Mets-Willets Point,2025162
Middle Village-Metropolitan Ave,1090449
Middletown Rd,597839
Montrose Ave,1933886
Morgan Ave,2100475
Morris Park,711229
Morrison Ave-Soundview,1970185
Mosholu Pkwy,2491758
Mt Eden Ave,1551038
Myrtle Ave,3854024
Myrtle-Willoughby Aves,1820637
Myrtle-Wyckoff Aves,5927332
Nassau Ave,3136229
Neck Rd,1362524
Neptune Ave,428163
Nereid Ave,1006617
Nevins St,3150597
New Lots Ave,1643487
New Lots Ave,1254351
Newkirk Ave,2131839
Newkirk Plaza,3252504
Northern Blvd,2008091
Norwood Ave,948571
Norwood-205th St,2639003
Nostrand Ave,1370372
Nostrand Ave,5608232
Ocean Pkwy,1033340
Ozone Park-Lefferts Blvd,2216647
Park Pl,519984
Parkchester,4734709
Parkside Ave,1955051
Parsons Blvd,2086114
Pelham Bay Park,2134403
Pelham Pkwy,2651208
Pelham Pkwy,896134
Pennsylvania Ave,1360708
President St,1037219
Prince St,4342692
Prospect Ave,2148059
Prospect Ave,1780893
Prospect Park,3323334
Queens Plaza,4334290
Queensboro Plaza,5018211
Ralph Ave,1829126
Rector St,2554523
Rector St,2014996
Rockaway Ave,1451431
Rockaway Ave,1787343
Rockaway Blvd,2299903
Rockaway Park-Beach 116th St,228144
Roosevelt Island,2380764
Saratoga Ave,1556357
Seneca Ave,1080829
Sheepshead Bay,4169796
Shepherd Ave,977012
Simpson St,2602749
Smith-9th Sts,1435824
South Ferry/Whitehall St,10272682
Spring St,3754272
Spring St,4423135
St Lawrence Ave,1276865
Steinway St,4715335
Sterling St,1654809
Sutphin Blvd,1345420
Sutphin Blvd-Archer Ave,7354064
Sutter Ave,1047762
Sutter Ave-Rutland Rd,2019485
Times Sq-42nd St/Bryant Pk/5th Ave,82233996
Tremont Ave,3052099
Union St,2271983
Utica Ave,5106247
Van Cortlandt Park-242nd St,2189109
Van Siclen Ave,853106
Van Siclen Ave,918811
Van Siclen Ave,791691
Vernon Blvd-Jackson Ave,4623070
W 4th St-Washington Sq,14063633
W 8th St-NY Aquarium,837836
Wakefield-241st St,1404748
Wall St,6910581
Wall St,5720475
West Farms Sq-E Tremont Ave,2104945
Westchester Sq-E Tremont Ave,1796415
Whitlock Ave,586845
Wilson Ave,1290221
Winthrop St,1882065
Woodhaven Blvd,1337787
Woodhaven Blvd,6381132
Woodlawn,2094285
Woodside-61st St,5345369
World Trade Center,20820549
WTC Cortlandt,4232521
York St,3927129
Zerega Ave,795756
